Code	Title	Group
2144	2144 - Mechanical Engineers	214
2114	2114 - Geologists and geophysicists	211
1212	1212 - Human Resource Managers	121
1439	1439 - Services Managers Not Elsewhere Classified	143
2355	2355 - Other Arts Teachers	235
2356	2356 - Information Technology Trainers	235
2359	2359 - Teaching Professionals Not Elsewhere Classified	235
2149	2149 - Engineering Professionals Not Elsewhere Classified	214
2240	2240 - Paramedical Practitioners	224
2152	2152 - Electronics Engineers	215
2422	2422 - Policy Administration Professionals	242
2653	2653 - Dancers and Choreographers	265
3117	3117 - Mining and metallurgical technicians	311
3119	3119 - Physical and Engineering Science Technicians Not Elsewhere Classified	311
3153	3153 - Aircraft Pilots and Related Associate Professionals	315
3221	3221 - Nursing Associate Professionals	322
3351	3351 - Customs and Border Inspectors	335
3259	3259 - Health Associate Professionals Not Elsewhere Classified	325
3434	3434 - Chefs	343
4132	4132 - Data Entry Clerks	413
4321	4321 - Stock Clerks	432
3513	3513 - Computer Network and Systems Technicians	351
4225	4225 - Inquiry Clerks	422
6223	6223 - Deep-sea Fishery Workers	622
5419	5419 - Protective Services Workers Not Elsewhere Classified	541
4411	4411 - Library Clerks	441
4415	4415 - Filing and Copying Clerks	441
6310	6310 - Subsistence Crop Farmers	631
7113	7113 - Stonemasons, Stone Cutters, Splitters and Carvers	711
6320	6320 - Subsistence Livestock Farmers	632
7122	7122 - Floor Layers and Tile Setters	712
7541	7541 - Underwater Divers	754
7543	7543 - Product Graders and Testers (except Foods and Beverages)	754
7231	7231 - Motor Vehicle Mechanics and Repairers	723
7234	7234 - Bicycle and Related Repairers	723
7533	7533 - Sewing, Embroidery and Related Workers	753
7311	7311 - Precision-instrument Makers and Repairers	731
8142	8142 - Plastic Products Machine Operators	814
8151	8151 - Fibre Preparing, Spinning and Winding Machine Operators	815
8112	8112 - Mineral and Stone Processing Plant Operators	811
8132	8132 - Photographic Products Machine Operators	813
8155	8155 - Fur and Leather Preparing Machine Operators	815
9329	9329 - Manufacturing Labourers Not Elsewhere Classified	932
9212	9212 - Livestock Farm Labourers	921
9311	9311 - Mining and Quarrying Labourers	931
9122	9122 - Vehicle Cleaners	912
9611	9611 - Garbage and Recycling Collectors	961
9612	9612 - Refuse Sorters	961
9629	9629 - Elementary Workers Not Elsewhere Classified	962
9621	9621 - Messengers, Package Deliverers and Luggage Porters	962
1345	1345 - Education Managers	134
2142	2142 - Civil Engineers	214
1323	1323 - Construction Managers	132
2163	2163 - Product and Garment Designers	216
2413	2413 - Financial Analysts	241
2341	2341 - Primary School Teachers	234
2433	2433 - Technical and Medical Sales Professionals (excluding ICT)	243
3323	3323 - Buyers	332
2632	2632 - Sociologists, Anthropologists and Related Professionals	263
2643	2643 - Translators, Interpreters and Other Linguists	264
4222	4222 - Contact Centre Information Clerks	422
3353	3353 - Government Social Benefits Officials	335
3343	3343 - Administrative and Executive Secretaries	334
3331	3331 - Clearing and Forwarding Aents	333
5222	5222 - Shop Supervisors	522
5223	5223 - Shop Sales Assistants	522
4311	4311 - Accounting and Bookkeeping Clerks	431
4226	4226 - Receptionists (general)	422
5411	5411 - Fire Fighters	541
7119	7119 - Building Frame and Related Trades Workers Not Elsewhere Classified	711
7121	7121 - Roofers	712
7315	7315 - Glass Makers, Cutters, Grinders and Finishers	731
7214	7214 - Structural Metal Preparers and Erectors	721
7412	7412 - Electrical Mechanics and Fitters	741
7511	7511 - Butchers, Fishmongers and Related Food Preparers	751
7532	7532 - Garment and Related Patternmakers and Cutters	753
9510	9510 - Street and Related Service Workers	951
2153	2153 - Telecommunications Engineers	215
2161	2161 - Building Architects	216
2132	2132 - Farming, Forestry and Fisheries Advisers	213
1112	1112 - Senior Government Officials	111
2111	2111 - Physicists and Astronomers	211
2411	2411 - Accountants	241
2421	2421 - Management and Organization Analysts	242
2310	2310 - University and Higher Education Teachers	231
3135	3135 - Metal Production Process Controllers	313
3141	3141 - Life Science Technicians (excluding Medical)	314
2514	2514 - Applications Programmers	251
2659	2659 - Creative and Performing Artists Not Elsewhere Classified	265
3255	3255 - Physiotherapy Technicians and Assistants	325
3256	3256 - Medical Assistants	325
3213	3213 - Pharmaceutical Technicians and Assistants	321
3344	3344 - Medical Secretaries	334
3334	3334 - Real Estate Agents and Property Managers	333
3432	3432 - Interior Designers and Decorators	343
3435	3435 - Other Artistic and Cultural Associate Professionals	343
5241	5241 - Fashion and Other Models	524
5242	5242 - Sales Demonstrators	524
5152	5152 - Domestic Housekeepers	515
4211	4211 - Bank Tellers and Related Clerks	421
6112	6112 - Tree and Shrub Crop Growers	611
6123	6123 - Apiarists and Sericulturists	612
7123	7123 - Plasterers	712
7513	7513 - Dairy Products Makers	751
7515	7515 - Food and Beverage Tasters and Graders	751
7316	7316 - Sign Writers, Decorative Painters, Engravers and Etchers	731
7321	7321 - Pre-press Technicians	732
9623	9623 - Meter Readers and Vending-machine Collectors	962
9215	9215 - Forestry Labourers	921
1346	1346 - Financial and Insurance Services Branch managers	134
1341	1341 - Child Care Service Managers	134
1222	1222 - Advertising and Public Relations Managers	122
2145	2145 - Chemical Engineers	214
2250	2250 - Veterinarians	225
2352	2352 - Special Needs Teachers	235
2330	2330 - Secondary Education Teachers	233
2266	2266 - Audiologists and Speech Therapists	226
2431	2431 - Advertising and Marketing Professionals	243
2611	2611 - Lawyers	261
2622	2622 - Librarians and Related Information Professionals	262
2633	2633 - Philosophers, Historians and Political Scientists	263
2641	2641 - Authors and Related Writers	264
2651	2651 - Visual Artists	265
3131	3131 - Power Production Plant Operators	313
3143	3143 - Forestry Technicians	314
3154	3154 - Air Traffic Controllers	315
3253	3253 - Community Health Workers	325
3341	3341 - Office Supervisors	334
